Time: 24.818, x: -9.08619e-07, y: -3.88445, z: 1.25
Time: 24.862, x: -9.01554e-07, y: -3.87249, z: 1.25
Time: 24.903, x: -8.95935e-07, y: -3.86401, z: 1.25
Time: 24.945, x: -8.90032e-07, y: -3.85465, z: 1.25
Time: 24.986, x: -8.84475e-07, y: -3.84593, z: 1.25
Time: 25.026, x: -8.78918e-07, y: -3.83679, z: 1.25
Time: 25.071, x: -8.73438e-07, y: -3.82875, z: 1.25
Time: 25.113, x: -8.67888e-07, y: -3.81962, z: 1.25
Time: 25.157, x: -8.62603e-07, y: -3.81158, z: 1.25
Time: 25.197, x: -8.56382e-07, y: -3.79936, z: 1.25
Time: 25.232, x: -8.52943e-07, y: -3.7952, z: 1.25
Time: 25.274, x: -8.46771e-07, y: -3.78312, z: 1.25
Time: 25.321, x: -8.41518e-07, y: -3.775, z: 1.25
Time: 25.364, x: -8.3537e-07, y: -3.76271, z: 1.25
Time: 25.406, x: -8.30291e-07, y: -3.7537, z: 1.25
Time: 25.449, x: -8.25513e-07, y: -3.74577, z: 1.25
Time: 25.491, x: -8.20594e-07, y: -3.73693, z: 1.25
Time: 25.532, x: -8.1597e-07, y: -3.72877, z: 1.25
Time: 25.576, x: -8.10014e-07, y: -3.71617, z: 1.25
Time: 25.618, x: -8.05379e-07, y: -3.70777, z: 1.25
Time: 25.661, x: -8.00796e-07, y: -3.69959, z: 1.25
Time: 25.704, x: -7.95251e-07, y: -3.6876, z: 1.25
Time: 25.746, x: -7.90744e-07, y: -3.67912, z: 1.25
