Time: 367.969, x: 2.16262, y: 2.10404, z: 1.25
Time: 368.01, x: 2.17, y: 2.11075, z: 1.25
Time: 368.051, x: 2.17955, y: 2.11944, z: 1.25
Time: 368.093, x: 2.18704, y: 2.12626, z: 1.25
Time: 368.134, x: 2.19435, y: 2.13291, z: 1.25
Time: 368.175, x: 2.20164, y: 2.13956, z: 1.25
Time: 368.217, x: 2.20892, y: 2.14619, z: 1.25
Time: 368.258, x: 2.21655, y: 2.15315, z: 1.25
Time: 368.299, x: 2.22581, y: 2.16161, z: 1.25
Time: 368.34, x: 2.23346, y: 2.1686, z: 1.25
Time: 368.383, x: 2.24069, y: 2.17521, z: 1.25
Time: 368.425, x: 2.24793, y: 2.18182, z: 1.25
Time: 368.468, x: 2.25515, y: 2.18842, z: 1.25
Time: 368.51, x: 2.26475, y: 2.19721, z: 1.25
Time: 368.552, x: 2.27193, y: 2.20377, z: 1.25
Time: 368.594, x: 2.27954, y: 2.21074, z: 1.25
Time: 368.637, x: 2.28726, y: 2.21781, z: 1.25
Time: 368.68, x: 2.29445, y: 2.22439, z: 1.25
Time: 368.722, x: 2.30398, y: 2.23314, z: 1.25
Time: 368.765, x: 2.31116, y: 2.23971, z: 1.25
Time: 368.806, x: 2.31832, y: 2.24627, z: 1.25
Time: 368.848, x: 2.32546, y: 2.25281, z: 1.25
Time: 368.888, x: 2.33264, y: 2.25938, z: 1.25
Time: 368.929, x: 2.34199, y: 2.26794, z: 1.25
Time: 368.97, x: 2.34931, y: 2.27465, z: 1.25
Time: 369.01, x: 2.35647, y: 2.2812, z: 1.25
Time: 369.051, x: 2.36359, y: 2.28772, z: 1.25
Time: 369.092, x: 2.37069, y: 2.29423, z: 1.25
Time: 369.132, x: 2.37785, y: 2.30078, z: 1.25
Time: 369.173, x: 2.38497, y: 2.3073, z: 1.25
Time: 369.215, x: 2.39431, y: 2.31584, z: 1.25
Time: 369.255, x: 2.40161, y: 2.32253, z: 1.25
Time: 369.297, x: 2.40876, y: 2.32906, z: 1.25
Time: 369.335, x: 2.41592, y: 2.3356, z: 1.25
Time: 369.377, x: 2.42308, y: 2.34214, z: 1.25
Time: 369.419, x: 2.43023, y: 2.34867, z: 1.25
Time: 369.462, x: 2.43959, y: 2.35722, z: 1.25
Time: 369.503, x: 2.44693, y: 2.36392, z: 1.25
Time: 369.545, x: 2.4541, y: 2.37045, z: 1.25
Time: 369.586, x: 2.4613, y: 2.37701, z: 1.25
Time: 369.627, x: 2.46849, y: 2.38356, z: 1.25
Time: 369.668, x: 2.47567, y: 2.3901, z: 1.25
Time: 369.709, x: 2.48506, y: 2.39866, z: 1.25
Time: 369.749, x: 2.49246, y: 2.4054, z: 1.25
Time: 369.789, x: 2.49968, y: 2.41197, z: 1.25
Time: 369.829, x: 2.50697, y: 2.41859, z: 1.25
Time: 369.87, x: 2.51422, y: 2.42517, z: 1.25
Time: 369.911, x: 2.52144, y: 2.43174, z: 1.25
Time: 369.951, x: 2.52868, y: 2.43833, z: 1.25
Time: 369.991, x: 2.53594, y: 2.44492, z: 1.25
Time: 370.031, x: 2.5432, y: 2.45152, z: 1.25
Time: 370.072, x: 2.55147, y: 2.45902, z: 1.25
Time: 370.112, x: 2.55873, y: 2.46562, z: 1.25
Time: 370.152, x: 2.56599, y: 2.47222, z: 1.25
Time: 370.192, x: 2.57323, y: 2.47881, z: 1.25
Time: 370.233, x: 2.58256, y: 2.48728, z: 1.25
Time: 370.272, x: 2.58981, y: 2.49389, z: 1.25
Time: 370.311, x: 2.59713, y: 2.50054, z: 1.25
